"Year","Annual bond yield, U.S., 1900 to 1970"
"1900",3.3
"1901",3.25
"1902",3.3
"1903",3.45
"1904",3.6
"1905",3.5
"1906",3.55
"1907",3.8
"1908",3.95
"1909",3.77
"1910",3.8
"1911",3.9
"1912",3.9
"1913",4
"1914",4.1
"1915",4.15
"1916",4.05
"1917",4.05
"1918",4.75
"1919",4.75
"1920",5.1
"1921",5.17
"1922",4.71
"1923",4.61
"1924",4.66
"1925",4.5
"1926",4.4
"1927",4.3
"1928",4.05
"1929",4.42
"1930",4.4
"1931",4.1
"1932",4.7
"1933",4.15
"1934",3.99
"1935",3.5
"1936",3.2
"1937",3.08
"1938",3
"1939",2.75
"1940",2.7
"1941",2.65
"1942",2.65
"1943",2.65
"1944",2.6
"1945",2.55
"1946",2.43
"1947",2.5
"1948",2.8
"1949",2.74
"1950",2.58
"1951",2.67
"1952",3
"1953",3.15
"1954",3
"1955",3.04
"1956",3.09
"1957",3.68
"1958",3.61
"1959",4.1
"1960",4.55
"1961",4.22
"1962",4.42
"1963",4.16
"1964",4.33
"1965",4.35
"1966",4.75
"1967",4.95
"1968",5.93
"1969",6.54
"1970",7.6

Annual bond yield, U.S., 1900 to 1970

