"Year","Annual common stock price, U.S., 1871 to 1970"
"1871",5.03
"1872",4.80
"1873",4.57
"1874",4.45
"1875",4.06
"1876",3.14
"1877",3.38
"1878",4.12
"1879",5.21
"1880",6.25
"1881",5.90
"1882",5.63
"1883",4.73
"1884",4.60
"1885",5.36
"1886",5.53
"1887",5.20
"1888",5.32
"1889",5.27
"1890",5.03
"1891",5.55
"1892",4.78
"1893",4.39
"1894",4.53
"1895",4.23
"1896",4.45
"1897",5.05
"1898",6.29
"1899",6.15
"1900",7.84
"1901",8.42
"1902",7.21
"1903",7.05
"1904",8.99
"1905",9.64
"1906",7.84
"1907",7.78
"1908",9.71
"1909",9.35
"1910",9.24
"1911",9.53
"1912",8.51
"1913",8.08
"1914",8.31
"1915",9.47
"1916",8.50
"1917",7.54
"1918",8.78
"1919",7.98
"1920",6.86
"1921",8.41
"1922",8.57
"1923",9.05
"1924",11.15
"1925",12.59
"1926",15.34
"1927",19.95
"1928",26.02
"1929",21.03
"1930",13.66
"1931",6.93
"1932",8.96
"1933",9.84
"1934",10.60
"1935",15.47
"1936",15.41
"1937",11.49
"1938",12.06
"1939",11.02
"1940",9.82
"1941",8.67
"1942",11.50
"1943",12.47
"1944",15.16
"1945",17.08
"1946",15.17
"1947",15.53
"1948",15.23
"1949",18.40
"1950",22.34
"1951",24.50
"1952",24.73
"1953",29.69
"1954",40.49
"1955",46.62
"1956",44.38
"1957",46.24
"1958",57.38
"1959",55.85
"1960",66.27
"1961",62.38
"1962",69.87
"1963",81.37
"1964",88.17
"1965",85.26
"1966",91.93
"1967",98.70
"1968",97.84
"1969",83.82

Annual common stock price, U.S., 1871 to 1970

