"Month","Monthly Av. residential electricity usage Iowa city 1971 ? 1979"
"1971-01",454
"1971-02",421
"1971-03",389
"1971-04",368
"1971-05",460
"1971-06",386
"1971-07",501
"1971-08",606
"1971-09",539
"1971-10",381
"1971-11",396
"1971-12",452
"1972-01",470
"1972-02",485
"1972-03",456
"1972-04",414
"1972-05",388
"1972-06",502
"1972-07",543
"1972-08",642
"1972-09",617
"1972-10",454
"1972-11",429
"1972-12",473
"1973-01",504
"1973-02",454
"1973-03",424
"1973-04",406
"1973-05",384
"1973-06",466
"1973-07",668
"1973-08",662
"1973-09",672
"1973-10",426
"1973-11",415
"1973-12",442
"1974-01",483
"1974-02",431
"1974-03",402
"1974-04",399
"1974-05",374
"1974-06",430
"1974-07",666
"1974-08",663
"1974-09",501
"1974-10",392
"1974-11",400
"1974-12",501
"1975-01",543
"1975-02",473
"1975-03",451
"1975-04",444
"1975-05",384
"1975-06",489
"1975-07",763
"1975-08",711
"1975-09",598
"1975-10",406
"1975-11",415
"1975-12",440
"1976-01",523
"1976-02",502
"1976-03",439
"1976-04",420
"1976-05",387
"1976-06",453
"1976-07",630
"1976-08",637
"1976-09",576
"1976-10",411
"1976-11",455
"1976-12",512
"1977-01",530
"1977-02",507
"1977-03",436
"1977-04",407
"1977-05",392
"1977-06",531
"1977-07",710
"1977-08",658
"1977-09",500
"1977-10",414
"1977-11",418
"1977-12",520
"1978-01",535
"1978-02",503
"1978-03",464
"1978-04",414
"1978-05",383
"1978-06",472
"1978-07",676
"1978-08",622
"1978-09",652
"1978-10",474
"1978-11",422
"1978-12",501
"1979-01",536
"1979-02",506
"1979-03",477
"1979-04",422
"1979-05",385
"1979-06",438
"1979-07",546
"1979-08",642
"1979-09",566
"1979-10",399

Monthly Av. residential electricity usage Iowa city 1971 ? 1979

