"Month","Montly av. residential gas usage Iowa (cubic feet)*100 ?71 ? ?79"
"1971-01",302
"1971-02",262
"1971-03",218
"1971-04",175
"1971-05",100
"1971-06",77
"1971-07",43
"1971-08",47
"1971-09",49
"1971-10",69
"1971-11",152
"1971-12",205
"1972-01",246
"1972-02",294
"1972-03",242
"1972-04",181
"1972-05",107
"1972-06",56
"1972-07",49
"1972-08",47
"1972-09",47
"1972-10",71
"1972-11",151
"1972-12",244
"1973-01",280
"1973-02",230
"1973-03",185
"1973-04",148
"1973-05",98
"1973-06",61
"1973-07",46
"1973-08",45
"1973-09",55
"1973-10",48
"1973-11",115
"1973-12",185
"1974-01",276
"1974-02",220
"1974-03",181
"1974-04",151
"1974-05",83
"1974-06",55
"1974-07",49
"1974-08",42
"1974-09",46
"1974-10",74
"1974-11",103
"1974-12",200
"1975-01",237
"1975-02",247
"1975-03",215
"1975-04",182
"1975-05",80
"1975-06",46
"1975-07",65
"1975-08",40
"1975-09",44
"1975-10",63
"1975-11",85
"1975-12",185
"1976-01",247
"1976-02",231
"1976-03",167
"1976-04",117
"1976-05",79
"1976-06",45
"1976-07",40
"1976-08",38
"1976-09",41
"1976-10",69
"1976-11",152
"1976-12",232
"1977-01",282
"1977-02",255
"1977-03",161
"1977-04",107
"1977-05",53
"1977-06",40
"1977-07",39
"1977-08",34
"1977-09",35
"1977-10",56
"1977-11",97
"1977-12",210
"1978-01",260
"1978-02",257
"1978-03",210
"1978-04",125
"1978-05",80
"1978-06",42
"1978-07",35
"1978-08",31
"1978-09",32
"1978-10",50
"1978-11",92
"1978-12",189
"1979-01",256
"1979-02",250
"1979-03",198
"1979-04",136
"1979-05",73
"1979-06",39
"1979-07",32
"1979-08",30
"1979-09",31
"1979-10",45

Montly av. residential gas usage Iowa (cubic feet)*100 ?71 ? ?79

